commit,dirty,date,wns,tns,failing_endpoints,dsp,lut,bram,carry4,note
468cfcb,False,2026-08-01T05:17:44Z,-1.33,-406.686,1852,79,8862,4.5,1302,
d415639,False,2026-08-01T05:40:05Z,-1.33,-406.686,1852,79,8862,4.5,1302,T16 path-shape survey (#22)
bb5cfbd,True,2026-08-01T05:47:43Z,-1.33,-406.686,1852,79,8862,4.5,1302,T16 path-shape survey (#22)
394ea9f,False,2026-08-01T14:28:39Z,-1.33,-406.686,1852,79,8862,4.5,1302,checkpoint for the T16 ready-chain census (#22)
d1a3467,False,2026-08-01T15:02:24Z,-1.451,-268.146,1232,79,9001,4.5,1302,ready-chain cuts (#31)
19dfebb,False,2026-08-01T15:11:46Z,-1.356,-272.843,1488,79,9034,4.5,1302,"fourth cut, ahead of trig (#31)"
f2a64eb,False,2026-08-01T18:52:27Z,-2.517,-1295.518,2869,79,9062,5.5,1310,"rigid oct32 dividers, enable deleted (#33)"
b1b0f6a,False,2026-08-01T18:59:43Z,-1.434,-292.764,1116,79,9207,4.5,1310,"rigid oct32 dividers, ring in fabric (#33)"
28489e4,False,2026-08-01T19:13:28Z,-1.045,-184.179,875,79,9207,4.5,1310,sideband inside the rigid divider (#33)
504f007,False,2026-08-01T19:48:23Z,-0.764,-157.352,580,79,9211,4.5,1324,keep a0 rounding regs out of the DSP's ADREG (#24)
e27421f,False,2026-08-01T20:26:56Z,-0.301,-5.789,94,79,9126,4.5,1324,norm3 shift/saturate split (#25)
